timestamp,high,low,open,close
1437436800,3.711,3.488,3.688,3.579
1437523200,3.652,3.539,3.579,3.577
1437609600,3.623,3.554,3.577,3.582
1437696000,3.778,3.639,3.582,3.708
1437782400,3.788,3.653,3.708,3.757
1437868800,3.837,3.726,3.757,3.77
1437955200,3.818,3.683,3.77,3.745
1438041600,3.806,3.651,3.745,3.698
1438128000,3.662,3.573,3.698,3.619
1438214400,3.662,3.571,3.619,3.628
1438300800,3.731,3.555,3.628,3.635
1438387200,3.666,3.489,3.635,3.629
1438473600,3.683,3.537,3.629,3.607
1438560000,3.652,3.539,3.607,3.599
1438646400,3.747,3.545,3.599,3.625
1438732800,3.643,3.524,3.625,3.555
1438819200,3.564,3.5,3.555,3.522
1438905600,3.546,3.079,3.522,3.246
1438992000,3.095,2.989,3.246,3.033
1439078400,3.343,3.045,3.033,3.103
1439164800,3.12,3.031,3.103,3.083
1439251200,3.193,3.07,3.083,3.175
1439337600,3.161,3.062,3.175,3.078
1439424000,3.066,2.966,3.078,3.032
1439510400,3.098,3.005,3.032,3.024
1439596800,3.001,2.918,3.024,2.946
1439683200,3.052,2.859,2.946,3.052
1439769600,3.088,2.88,3.052,2.885
1439856000,2.805,2.709,2.885,2.805
1439942400,2.728,2.524,2.805,2.646
1440028800,2.797,2.677,2.646,2.774
1440115200,2.777,2.705,2.774,2.745
1440201600,2.75,2.66,2.745,2.663
1440288000,2.658,2.603,2.663,2.617
1440374400,2.453,2.345,2.617,2.374
1440460800,2.549,2.426,2.374,2.503
1440547200,2.607,2.526,2.503,2.592
1440633600,2.579,2.503,2.592,2.521
1440720000,2.666,2.548,2.521,2.604
1440806400,2.603,2.536,2.604,2.561
1440892800,2.606,2.542,2.561,2.549
1440979200,2.591,2.547,2.549,2.577
1441065600,2.558,2.488,2.577,2.535
1441152000,2.561,2.476,2.535,2.52
1441238400,2.493,2.432,2.52,2.45
1441324800,2.519,2.402,2.45,2.454
1441411200,2.542,2.367,2.454,2.447
1441497600,2.559,2.471,2.447,2.497
1441584000,2.492,2.342,2.497,2.353
1441670400,2.424,2.189,2.353,2.316
1441756800,2.538,2.247,2.316,2.419
1441843200,2.462,2.309,2.419,2.378
1441929600,2.452,2.328,2.378,2.399
1442016000,2.479,2.265,2.399,2.446
1442102400,2.426,2.265,2.446,2.309
1442188800,2.366,2.259,2.309,2.295
1442275200,2.376,2.26,2.295,2.311
1442361600,2.435,2.266,2.311,2.412
1442448000,2.483,2.383,2.412,2.43
1442534400,2.464,2.348,2.43,2.434
1442620800,2.471,2.327,2.434,2.362
1442707200,2.48,2.318,2.362,2.341
1442793600,2.417,2.27,2.341,2.354
1442880000,2.484,2.371,2.354,2.48
